Timestamp,Open,High,Low,Close,Volume,datetime
2017-01-01 00:00:00,963.16,963.16,963.16,963.16,0.0,2017-01-01 00:00:00+00:00
2017-01-01 00:01:00,962.85,962.85,962.85,962.85,0.02812937,2017-01-01 00:01:00+00:00
2017-01-01 00:02:00,962.85,962.85,962.85,962.85,0.0,2017-01-01 00:02:00+00:00
2017-01-01 00:03:00,962.85,962.85,962.85,962.85,0.0,2017-01-01 00:03:00+00:00
2017-01-01 00:04:00,963.17,963.17,963.17,963.17,0.008,2017-01-01 00:04:00+00:00
2017-01-01 00:05:00,962.87,962.87,962.87,962.87,0.02227255,2017-01-01 00:05:00+00:00
2017-01-01 00:06:00,962.87,963.14,962.87,963.14,1.0676432,2017-01-01 00:06:00+00:00
2017-01-01 00:07:00,962.86,962.86,962.86,962.86,0.010432,2017-01-01 00:07:00+00:00
2017-01-01 00:08:00,962.87,962.87,962.87,962.87,0.036151,2017-01-01 00:08:00+00:00
2017-01-01 00:09:00,962.87,962.87,962.87,962.87,0.24841298,2017-01-01 00:09:00+00:00
2017-01-01 00:10:00,963.16,963.16,962.87,962.87,0.52236652,2017-01-01 00:10:00+00:00
2017-01-01 00:11:00,962.87,962.87,962.86,962.86,4.09,2017-01-01 00:11:00+00:00
2017-01-01 00:12:00,962.86,962.86,962.86,962.86,0.0,2017-01-01 00:12:00+00:00
2017-01-01 00:13:00,962.86,962.86,962.86,962.86,0.0,2017-01-01 00:13:00+00:00
2017-01-01 00:14:00,962.88,963.0,962.88,963.0,0.10300038,2017-01-01 00:14:00+00:00
2017-01-01 00:15:00,963.0,963.15,963.0,963.0,29.13783096,2017-01-01 00:15:00+00:00
2017-01-01 00:16:00,963.0,963.0,963.0,963.0,8.80318988,2017-01-01 00:16:00+00:00
2017-01-01 00:17:00,963.12,963.14,963.0,963.14,5.88402779,2017-01-01 00:17:00+00:00
2017-01-01 00:18:00,963.16,963.16,963.0,963.0,0.33223301,2017-01-01 00:18:00+00:00
2017-01-01 00:19:00,963.0,963.0,963.0,963.0,0.10358663,2017-01-01 00:19:00+00:00
2017-01-01 00:20:00,963.0,963.0,963.0,963.0,0.045414,2017-01-01 00:20:00+00:00
2017-01-01 00:21:00,963.0,963.13,963.0,963.0,0.07781809,2017-01-01 00:21:00+00:00
2017-01-01 00:22:00,963.0,963.13,963.0,963.0,0.84971588,2017-01-01 00:22:00+00:00
2017-01-01 00:23:00,963.0,963.0,961.48,961.48,0.783562,2017-01-01 00:23:00+00:00
2017-01-01 00:24:00,961.6,961.6,961.6,961.6,0.02125441,2017-01-01 00:24:00+00:00
2017-01-01 00:25:00,963.11,963.11,963.09,963.09,0.09278239,2017-01-01 00:25:00+00:00
2017-01-01 00:26:00,963.09,963.09,963.09,963.09,0.0,2017-01-01 00:26:00+00:00
2017-01-01 00:27:00,962.61,963.17,962.61,963.17,2.60093024,2017-01-01 00:27:00+00:00
2017-01-01 00:28:00,963.17,963.17,963.17,963.17,0.0,2017-01-01 00:28:00+00:00
2017-01-01 00:29:00,963.17,963.17,963.17,963.17,0.11241924,2017-01-01 00:29:00+00:00
2017-01-01 00:30:00,963.17,963.17,963.17,963.17,5.00794698,2017-01-01 00:30:00+00:00
2017-01-01 00:31:00,963.17,963.17,962.9,962.9,0.65865831,2017-01-01 00:31:00+00:00
2017-01-01 00:32:00,962.9,962.9,962.9,962.9,0.0,2017-01-01 00:32:00+00:00
2017-01-01 00:33:00,962.12,963.17,962.12,962.65,0.12007454,2017-01-01 00:33:00+00:00
2017-01-01 00:34:00,962.62,962.65,962.54,962.54,0.38500274,2017-01-01 00:34:00+00:00
2017-01-01 00:35:00,963.12,963.12,963.12,963.12,0.072,2017-01-01 00:35:00+00:00
2017-01-01 00:36:00,963.13,963.13,963.13,963.13,0.069,2017-01-01 00:36:00+00:00
2017-01-01 00:37:00,962.97,962.97,962.95,962.95,0.1,2017-01-01 00:37:00+00:00
2017-01-01 00:38:00,962.95,962.95,962.95,962.95,0.0,2017-01-01 00:38:00+00:00
